player_id,name,position,team,engine_value
6001,Drew Sample,TE,CIN,340.7
2505,Darren Waller,TE,MIA,372.8
11608,Isaiah Williams,WR,NYJ,489.2
12543,Tahj Brooks,RB,CIN,391.0
6820,Clyde Edwards-Helaire,RB,KC,189.5
9484,Tucker Kraft,TE,GB,679.9
19,Joe Flacco,QB,CIN,522.4
5110,Russell Gage Jr.,WR,SF,317.7
11571,Isaiah Davis,RB,NYJ,447.7
11625,Adonai Mitchell,WR,NYJ,542.9
11617,Malachi Corley,WR,CLE,454.8
12483,Jack Bech,WR,LV,485.7
5846,DK Metcalf,WR,PIT,623.9
5906,Dawson Knox,TE,BUF,398.1
8119,Jahan Dotson,WR,PHI,468.5
8160,,,,375.1
8121,Romeo Doubs,WR,GB,616.0
12530,Travis Hunter,WR,JAX,610.0
6853,Van Jefferson,WR,TEN,411.2
6945,Antonio Gibson,RB,NE,257.7
11579,,,,456.0
4993,Mike Gesicki,TE,CIN,359.5
8408,Jordan Mason,RB,MIN,381.9
12540,Chimere Dike,WR,TEN,590.9
9758,C.J. Stroud,QB,HOU,602.7
2749,Raheem Mostert,RB,LV,189.4
8132,Tyler Allgeier,RB,ATL,416.7
5892,David Montgomery,RB,DET,405.7
7526,Jaylen Waddle,WR,MIA,625.1
11421,Ryan Miller,WR,TB,421.3
11637,Keon Coleman,WR,BUF,587.6
8500,John FitzPatrick,TE,GB,401.0
7049,Jauan Jennings,WR,SF,603.1
4082,Curtis Samuel,WR,BUF,401.2
9509,Bijan Robinson,RB,ATL,925.9
12504,Kaleb Johnson,RB,PIT,447.4
8800,Malik Davis,RB,DAL,241.2
11603,AJ Barner,TE,SEA,475.7
5781,Malik Turner,WR,SF,317.7
5857,Noah Fant,TE,CIN,414.7
1234,Russell Wilson,QB,NYG,392.8
6957,James Proche II,WR,TEN,351.5
9494,Marvin Mims Jr.,WR,DEN,540.2
4943,Sam Darnold,QB,SEA,564.2
6151,Miles Sanders,RB,DAL,334.3
12474,Woody Marks,RB,HOU,526.1
13121,Ben Yurosek,TE,MIN,384.0
11942,Colson Yankoff,TE,WSH,383.3
6920,Isaiah Hodgins,WR,PIT,503.5
11632,Malik Nabers,WR,NYG,740.9
4199,Aaron Jones Sr.,RB,MIN,334.0
11820,Devin Culp,TE,TB,388.4
7538,,,,356.4
7585,Davis Mills,QB,HOU,552.8
12538,,,,498.6
11631,Brian Thomas Jr.,WR,JAX,619.1
3202,Austin Hooper,TE,NE,329.2
8142,Alec Pierce,WR,IND,597.1
7075,Charlie Woerner,TE,ATL,346.8
4972,Mason Rudolph,QB,PIT,352.8
5955,Hunter Renfrow,WR,CAR,495.7
12503,Isaiah Bond,WR,CLE,503.5
11199,Emari Demercado,RB,ARI,288.0
7812,Simi Fehoko,WR,ARI,334.5
11433,Nate Adkins,TE,DEN,401.5
9221,Jahmyr Gibbs,RB,DET,991.2
12471,DJ Giddens,RB,IND,447.0
9504,Kayshon Boutte,WR,NE,584.8
11576,Braelon Allen,RB,NYJ,536.9
4046,Patrick Mahomes,QB,KC,626.9
6039,Ty Johnson,RB,BUF,253.5
4219,Jeremy McNichols,RB,WSH,228.5
